Song Link,B.B.K.K.B.K.K.
Song Link,Bad Apple!! feat. nomico
Song Link,BLACK or WHITE?
Song Link,Brain Power
Song Link,Chronomia
Song Link,Conflict
Song Link,ECHO
Song Link,FREEDOM DiVE
Song Link,GOODTEK
Song Link,Knight of Nights
Song Link,Megalovania
Song Link,Miku
Song Link,MopeMope
Song Link,Never Gonna Give You Up
Song Link,Roki / ロキ
Song Link,Rolling Girl / ローリンガール
Song Link,Senbonzakura / 千本桜
Song Link,Verflucht
Song Link,Wavetapper
Fizz Vol. 1,you can skip this one (feat. Noah Denton)
Fizz Vol. 1,challenge32
Fizz Vol. 1,Mr Krabs Remix (feat. benjamin francis & Noah Denton)
Fizz Vol. 1,fever sleep (feat. benjamin francis & Noah Denton)
Fizz Vol. 1,weevil lore
Fizz Vol. 1,raygun blaster fink (feat. benjamin francis)
Fizz Vol. 1,orange festival (feat. Noah Denton)
Fizz Vol. 1,Pat Metheny Remix
Fizz Vol. 1,spirits only come at night (feat. Noah Denton)
Fizz Vol. 1,blowfish snorkeling
Fizz Vol. 1,Mario Kart Remix (feat. benjamin francis & Noah Denton)
Fizz Vol. 1,carousel horse (feat. benjamin francis)
Fizz Vol. 1,pink city
Fizz Vol. 1,feral4 (feat. benjamin francis & Noah Denton)
Djesse Vol. 3,CLARITY
Djesse Vol. 3,Count The People (feat. Jessie Reyez & T-Pain)
Djesse Vol. 3,In My Bones (feat. Kimbra & Tank And The Bangas)
Djesse Vol. 3,Time Alone With You (feat. Daniel Caesar)
Djesse Vol. 3,All I Need (with Mahalia & Ty Dolla $ign)
Djesse Vol. 3,In Too Deep (feat. Niana Ledé)
Djesse Vol. 3,Butterflies
Djesse Vol. 3,Sleeping On My Dreams
Djesse Vol. 3,Running Outta Love (feat. Tori Kelly)
Djesse Vol. 3,Light It Up On Me
Djesse Vol. 3,He Won't Hold You (feat. Rapsody)
Djesse Vol. 3,To Sleep
Hello (BPM),Hello (BPM) 2021
Hello (BPM),Hello (BPM) 2022
Hello (BPM),Hello (BPM) 2023
Hello (BPM),Hello (BPM) 2024
Hello (BPM),Hello (BPM) 2025
Variety,Fragmented Happiness
Variety,Meltel -三戒-
Variety,Micrology
Variety,うずまき
Variety,ABC (feat. Sophia Black)
Variety,Restless Song
Variety,sing sing red indigo
Variety,Bloom
Variety,Impeded
Variety,Memory Leaves (feat. Masego)
Variety,gleichgewicht
Variety,collusion
Variety,Come Running to Me
Variety,De Flore Sonos
Variety,Typewrite Lesson
Finale,I Am S / H (Im) E (R) as You Am S / H (Im) E (R) as You Are Me and We Am I and I Are All Our Together; Our Collective Consciousness’ psychogenic Fugue
Finale,time//motion//wine
Finale,emme
Finale,Parallel Universe Shifter
